article_id,article_text
1,"Patient was prescribed Dolo 650 for fever; it contains Paracetamol and is manufactured by Micro Labs Ltd."
2,"Dolo 650 tablet from Micro Labs Ltd has Paracetamol as the active ingredient."
3,"Azee 500 was advised for infection and it contains Azithromycin manufactured by Cipla."
4,"Cipla produces Azee 500 which includes Azithromycin for bacterial infections."
5,"Pan 40 was given for acidity; it contains Pantoprazole and is marketed by Alkem Laboratories."
6,"Pantoprazole based Pan 40 is manufactured by Alkem Laboratories for gastric relief."
7,"Ecosprin 75 contains Aspirin and is manufactured by USV Pvt Ltd for heart protection."
8,"USV Pvt Ltd makes Ecosprin 75 which includes Aspirin for blood thinning therapy."
9,"Montek LC was prescribed for allergy; it contains Montelukast + Levocetirizine produced by Sun Pharma."
10,"Sun Pharma markets Montek LC containing Montelukast + Levocetirizine for allergic symptoms."
11,"Crocin Advance contains Paracetamol and is manufactured by GlaxoSmithKline for fever management."
12,"GlaxoSmithKline produces Crocin Advance which has Paracetamol for pain and fever."
13,"Amoxyclav 625 was started for infection; it contains Amoxicillin + Clavulanic Acid made by Abbott."
14,"Abbott manufactures Amoxyclav 625 containing Amoxicillin + Clavulanic Acid for bacterial conditions."
15,"Cetrizine tablet contains Cetirizine and is marketed by Dr. Reddy's Laboratories for allergies."
16,"Dr. Reddy's Laboratories makes Cetrizine which includes Cetirizine for sneezing and itching."
17,"Metformin 500 contains Metformin and is manufactured by Sun Pharma for diabetes control."
18,"Sun Pharma produces Metformin 500 which includes Metformin to manage blood glucose."
19,"Zincovit contains multivitamins and minerals and is marketed by Apex Laboratories for deficiency."
20,"Apex Laboratories manufactures Zincovit which includes multivitamins and minerals for daily nutrition."
21,"Allegra 120 contains Fexofenadine and is manufactured by Sanofi for allergy relief."
22,"Sanofi produces Allegra 120 which includes Fexofenadine to reduce allergic reactions."
23,"Combiflam was prescribed for pain; it contains Ibuprofen + Paracetamol made by Sanofi."
24,"Sanofi manufactures Combiflam containing Ibuprofen + Paracetamol for inflammation and pain."
25,"Augmentin 625 contains Amoxicillin + Clavulanic Acid and is manufactured by GlaxoSmithKline."
26,"GlaxoSmithKline makes Augmentin 625 which includes Amoxicillin + Clavulanic Acid for infections."
27,"Calpol 500 was taken for fever; it contains Paracetamol and is manufactured by GlaxoSmithKline."
28,"GlaxoSmithKline produces Calpol 500 containing Paracetamol for fever and mild pain."
29,"Omez 20 contains Omeprazole and is manufactured by Dr. Reddy's Laboratories for acidity."
30,"Dr. Reddy's Laboratories markets Omez 20 which includes Omeprazole for gastric issues."
31,"Rantac 150 contains Ranitidine and is manufactured by J B Chemicals and Pharmaceuticals."
32,"J B Chemicals and Pharmaceuticals produces Rantac 150 containing Ranitidine for heartburn."
33,"Nurokind LC contains Methylcobalamin + Levocarnitine and is manufactured by Mankind Pharma."
34,"Mankind Pharma markets Nurokind LC which includes Methylcobalamin + Levocarnitine for nerve health."
35,"Shelcal 500 contains Calcium + Vitamin D3 and is manufactured by Torrent Pharmaceuticals."
36,"Torrent Pharmaceuticals produces Shelcal 500 containing Calcium + Vitamin D3 for bone strength."
37,"Neurobion Forte contains Vitamin B complex and is manufactured by Procter & Gamble."
38,"Procter & Gamble makes Neurobion Forte which includes Vitamin B complex for nerve support."
39,"Liv 52 contains herbal ingredients and is manufactured by Himalaya Wellness for liver support."
40,"Himalaya Wellness produces Liv 52 containing herbal ingredients for liver function."
41,"Pantocid 40 contains Pantoprazole and is manufactured by Sun Pharma for acidity."
42,"Sun Pharma markets Pantocid 40 which includes Pantoprazole for gastric relief."
43,"Telma 40 contains Telmisartan and is manufactured by Glenmark Pharmaceuticals for blood pressure."
44,"Glenmark Pharmaceuticals produces Telma 40 containing Telmisartan for hypertension."
45,"Amlong 5 contains Amlodipine and is manufactured by Micro Labs Ltd for BP control."
46,"Micro Labs Ltd makes Amlong 5 which includes Amlodipine for hypertension treatment."
47,"Glycomet 500 contains Metformin and is manufactured by USV Pvt Ltd for diabetes."
48,"USV Pvt Ltd produces Glycomet 500 which includes Metformin to control sugar levels."
49,"Voveran contains Diclofenac and is manufactured by Novartis for pain relief."
50,"Novartis markets Voveran containing Diclofenac for inflammation and pain."
51,"Betadine solution contains Povidone iodine and is manufactured by Mundipharma."
52,"Mundipharma produces Betadine which includes Povidone iodine for antiseptic use."
53,"Supradyn contains multivitamins and minerals and is manufactured by Bayer for daily energy."
54,"Bayer markets Supradyn containing multivitamins and minerals for nutritional support."
55,"Thyronorm 50 contains Levothyroxine and is manufactured by Abbott for thyroid management."
56,"Abbott produces Thyronorm 50 which includes Levothyroxine for hypothyroidism."
57,"Atorva 10 contains Atorvastatin and is manufactured by Zydus Lifesciences for cholesterol."
58,"Zydus Lifesciences markets Atorva 10 containing Atorvastatin to reduce cholesterol."
59,"Rosuvas 10 contains Rosuvastatin and is manufactured by Sun Pharma for lipid control."
60,"Sun Pharma makes Rosuvas 10 which includes Rosuvastatin for cholesterol management."
61,"Pantop 40 contains Pantoprazole and is manufactured by Aristo Pharmaceuticals for acidity."
62,"Aristo Pharmaceuticals produces Pantop 40 containing Pantoprazole for gastric conditions."
63,"Okacet contains Cetirizine and is manufactured by Cipla for allergy symptoms."
64,"Cipla markets Okacet containing Cetirizine for cold and allergy relief."
65,"Sinarest contains Paracetamol + Chlorpheniramine + Phenylephrine and is manufactured by Centaur Pharmaceuticals."
66,"Centaur Pharmaceuticals produces Sinarest which includes Paracetamol + Chlorpheniramine + Phenylephrine for cold."
67,"Azicip 500 contains Azithromycin and is manufactured by Cipla for infections."
68,"Cipla produces Azicip 500 which includes Azithromycin for bacterial illness."
69,"Clavam 625 contains Amoxicillin + Clavulanic Acid and is manufactured by Alkem Laboratories."
70,"Alkem Laboratories markets Clavam 625 containing Amoxicillin + Clavulanic Acid for infection care."
71,"Pantosec 40 contains Pantoprazole and is manufactured by Cipla for acidity."
72,"Cipla produces Pantosec 40 which includes Pantoprazole for heartburn."
73,"Rablet 20 contains Rabeprazole and is manufactured by Lupin for gastric reflux."
74,"Lupin markets Rablet 20 containing Rabeprazole for acid reflux relief."
75,"Dart contains Diclofenac and is manufactured by Micro Labs Ltd for pain management."
76,"Micro Labs Ltd produces Dart which includes Diclofenac for inflammation."
77,"Volini gel contains Diclofenac and is manufactured by Sun Pharma for topical pain relief."
78,"Sun Pharma markets Volini containing Diclofenac for muscular pain."
79,"Digene contains Aluminium hydroxide + Magnesium hydroxide + Simethicone and is manufactured by Abbott."
80,"Abbott produces Digene containing Aluminium hydroxide + Magnesium hydroxide + Simethicone for acidity."
81,"Gelusil contains Aluminium hydroxide + Magnesium hydroxide + Simethicone and is manufactured by Pfizer."
82,"Pfizer markets Gelusil containing Aluminium hydroxide + Magnesium hydroxide + Simethicone for heartburn."
83,"Benadryl syrup contains Diphenhydramine and is manufactured by Johnson & Johnson for cough relief."
84,"Johnson & Johnson produces Benadryl containing Diphenhydramine for cold symptoms."
85,"Vicks Action 500 contains Paracetamol + Caffeine + Phenylephrine and is manufactured by Procter & Gamble."
86,"Procter & Gamble markets Vicks Action 500 containing Paracetamol + Caffeine + Phenylephrine for cold relief."
87,"Losar 50 contains Losartan and is manufactured by Torrent Pharmaceuticals for hypertension."
88,"Torrent Pharmaceuticals produces Losar 50 containing Losartan for blood pressure control."
89,"Corex syrup contains Chlorpheniramine + Codeine and is manufactured by Pfizer for cough."
90,"Pfizer produces Corex containing Chlorpheniramine + Codeine for cough relief."
91,"Evion 400 contains Vitamin E and is manufactured by Merck for supplementation."
92,"Merck markets Evion 400 containing Vitamin E for deficiency support."
93,"Limcee contains Vitamin C and is manufactured by Abbott for immune support."
94,"Abbott produces Limcee containing Vitamin C for supplementation."
95,"Ciplox 500 contains Ciprofloxacin and is manufactured by Cipla for infections."
96,"Cipla markets Ciplox 500 containing Ciprofloxacin for bacterial infection treatment."
97,"Norflox TZ contains Norfloxacin + Tinidazole and is manufactured by Cipla for stomach infection."
98,"Cipla produces Norflox TZ containing Norfloxacin + Tinidazole for diarrhea and infection."
99,"Benformin contains Metformin and is manufactured by Abbott for diabetes care."
100,"Abbott markets Benformin containing Metformin for glucose control."
101,"Cetaphil cleanser contains gentle cleansing agents and is manufactured by Galderma."
102,"Galderma produces Cetaphil cleanser which contains gentle cleansing agents for skincare."
103,"Domstal contains Domperidone and is manufactured by Torrent Pharmaceuticals for nausea relief."
104,"Torrent Pharmaceuticals markets Domstal containing Domperidone for vomiting control."
105,"Ondem contains Ondansetron and is manufactured by Alkem Laboratories for nausea."
106,"Alkem Laboratories produces Ondem containing Ondansetron for vomiting prevention."
107,"Betacap TR contains Propranolol and is manufactured by Sun Pharma for blood pressure control."
108,"Sun Pharma markets Betacap TR containing Propranolol for hypertension support."
109,"Azithral 500 contains Azithromycin and is manufactured by Alembic Pharmaceuticals for infections."
110,"Alembic Pharmaceuticals produces Azithral 500 containing Azithromycin for bacterial infection."
111,"Zerodol SP contains Aceclofenac + Paracetamol + Serratiopeptidase and is manufactured by Ipca Laboratories."
112,"Ipca Laboratories markets Zerodol SP containing Aceclofenac + Paracetamol + Serratiopeptidase for pain relief."
113,"Alex syrup contains Terbutaline + Bromhexine + Guaiphenesin and is manufactured by Glenmark Pharmaceuticals."
114,"Glenmark Pharmaceuticals produces Alex syrup containing Terbutaline + Bromhexine + Guaiphenesin for cough."
